FID,Id,Site,Circrat,Date,Spec_Code,ColonyID,PatchID,PatchName,Poly_Area,Poly_Perim,LinkTP_Bac,LinkTP_For,Notes,TimePt,Shape_Leng,Shape_Area
134,0,OAH22,6,10/04/2018,PMEA, ,65,OAH22_06_10/04/2018_PMEA_0065,0.012375093568900,0.454175480969000,31,102, ,2,0.453960328522000,0.012372084987200
135,0,OAH22,2,10/04/2018,PMEA, ,66,OAH22_02_10/04/2018_PMEA_0066,0.037896278024200,0.912136656136000,28,99, ,2,0.912075051056000,0.037902915006600
136,0,OAH22,3,10/04/2018,PMEA, ,68,OAH22_03_10/04/2018_PMEA_0068,0.013500691232000,0.456736129082000,33,103, ,2,0.456779078158000,0.013502935042600
137,0,OAH22,3,10/04/2018,PMEA, ,69,OAH22_03_10/04/2018_PMEA_0069,0.023109278884000,0.614336928146000,32,104, ,2,0.614389769090000,0.023116150062500
138,0,OAH22,3,10/04/2018,PMEA, ,70,OAH22_03_10/04/2018_PMEA_0070,0.069485885114200,1.146179427900000,35,105, ,2,1.145756149070000,0.069482815100200
139,0,OAH22,5,10/04/2018,PMEA, ,71,OAH22_05_10/04/2018_PMEA_0071,0.035615574385100,0.778207137724000,36,NA,Hole in CO model,2,0.778325152711000,0.035615930066200
140,0,OAH22,3,10/04/2018,PMEA, ,72,OAH22_03_10/04/2018_PMEA_0072,0.017384198187700,0.678327193383000,34,106, ,2,0.678413625014000,0.017387619989300
141,0,OAH22,8,10/04/2018,PMEA, ,73,OAH22_08_10/04/2018_PMEA_0073,0.024410754564100,0.711590572632000,350,107, ,2,0.711500197485000,0.024408269944800
142,0,OAH22,4,10/04/2018,PMEA, ,74,OAH22_04_10/04/2018_PMEA_0074,0.029914021665900,0.807475570867000,37,108, ,2,0.807465418831000,0.029911719995600
143,0,OAH22,4,10/04/2018,PMEA, ,75,OAH22_04_10/04/2018_PMEA_0075,0.023834374826700,0.629821824519000,38,109, ,2,0.629616440416000,0.023832644985600
144,0,OAH22,1,10/04/2018,MOSP, ,76,OAH22_01_10/04/2018_MOSP_0076,0.004954957692710,0.394319454419000,21,113, ,2,0.394283468107000,0.004954500008230
145,0,OAH22,1,10/04/2018,MOSP, ,77,OAH22_01_10/04/2018_MOSP_0077,0.002554859387380,0.366188265853000,21,114, ,2,0.366042509454000,0.002553794963820
146,0,OAH22,18,10/04/2018,PMEA, ,120,OAH22_18_10/04/2018_PMEA_0120,0.005278348288080,0.414152890850000,126,NA,Hole in CO model,2,0.414300815937000,0.005278445000730
